,word,index,frequency
21291,['alien'],0,1204
878,['million'],0,1202
4767,['alright'],0,1200
2975,['across'],0,1195
11682,['alpha'],0,1192
669,['laugh'],0,1190
1293,['grow'],0,1190
3269,['sam'],0,1190
1579,['wearing'],0,1187
2126,['army'],0,1187
2874,['watching'],0,1185
6893,['action'],0,1183
1692,['quickly'],0,1182
1456,['peace'],0,1181
12315,['leonardo'],0,1181
1991,['dogs'],0,1180
4563,['peter'],0,1180
7170,['engine'],0,1179
16768,['roars'],0,1179
1802,['weeks'],0,1176
7438,['x'],0,1176
3330,['months'],0,1174
1418,['tired'],0,1173
8315,['rescue'],0,1173
1175,['begin'],0,1172
36,['john'],0,1170
35697,['kevin'],0,1169
682,['write'],0,1164
963,['nose'],0,1159
446,['hat'],0,1155
6229,['final'],0,1149
3162,['contact'],0,1148
3592,['tough'],0,1148
1965,['learned'],0,1142
3590,['broke'],0,1142
680,['upon'],0,1139
396,['evening'],0,1138
4805,['park'],0,1135
911,['ghost'],0,1134
1318,['lf'],0,1134
2265,['lie'],0,1132
4114,['30'],0,1131
454,['stone'],0,1130
4838,['eight'],0,1130
3873,['meeting'],0,1129
1549,['seeing'],0,1127
3528,['excellent'],0,1126
345,['chicken'],0,1121
1723,['starting'],0,1121
12515,['robot'],0,1121
3098,['rat'],0,1120
1065,['pie'],0,1119
1465,['born'],0,1119
202,['stopped'],0,1117
2436,['given'],0,1115
1165,['age'],0,1108
4125,['enjoy'],0,1108
4711,['radio'],0,1108
1777,['animals'],0,1107
3281,['died'],0,1105
3599,['rings'],0,1102
2767,['message'],0,1100
2798,['faster'],0,1100
3151,['speed'],0,1099
5419,['roll'],0,1099
2003,['greatest'],0,1097
937,['floor'],0,1095
2292,['thinks'],0,1094
3752,['6'],0,1093
53658,['zeo'],0,1091
618,['heroes'],0,1089
1276,['outta'],0,1089
335,['pain'],0,1088
2848,['miles'],0,1087
1632,['middle'],0,1085
3357,['training'],0,1085
32385,['jedi'],0,1085
3561,['trip'],0,1084
1776,['wild'],0,1080
3303,['4'],0,1078
79250,['avatar'],0,1077
405,['likes'],0,1076
4281,['favorite'],0,1074
5799,['enemy'],0,1074
402,['dreams'],0,1069
1153,['complete'],0,1069
2246,['rule'],0,1069
4470,['decided'],0,1068
4909,['president'],0,1067
4137,['spend'],0,1066
524,['near'],0,1065
1373,['rid'],0,1065
2835,['round'],0,1065
1582,['dress'],0,1064
16547,['unh'],0,1062
957,['witch'],0,1061
2047,['certain'],0,1053
1570,['crystal'],0,1051
1788,['bag'],0,1051
5411,['map'],0,1051
1149,['pig'],0,1050
5158,['trap'],0,1049
919,['gosh'],0,1047
3572,['questions'],0,1047
940,['window'],0,1046
1880,['forward'],0,1042
312,['low'],0,1032
3917,['interesting'],0,1032
175,['fell'],0,1030
8674,['panting'],0,1030
6254,['iron'],0,1028
251,['eating'],0,1026
16855,['kaos'],0,1026
1868,['guard'],0,1025
34267,['dudes'],0,1025
5611,['weapon'],0,1023
5996,['doo'],0,1020
1072,['goin'],0,1019
3698,['animal'],0,1019
2562,['pop'],0,1018
1383,['asking'],0,1016
917,['felt'],0,1015
1842,['12'],0,1014
9913,['weapons'],0,1013
2628,['single'],0,1012
6995,['roaring'],0,1012
1088,['women'],0,1011
1232,['within'],0,1011
2938,['indeed'],0,1010
593,['dare'],0,1009
1378,['state'],0,1009
2199,['bigger'],0,1008
4444,['suit'],0,1007
33511,['po'],0,1007
3144,['kick'],0,1006
881,['early'],0,1005
2124,['ridiculous'],0,1005
4349,['marty'],0,1005
1899,['locked'],0,1002
617,['joke'],0,1001
4339,['seriously'],0,1000
787,['forgive'],0,999
2605,['push'],0,999
8112,['barking'],0,998
5674,['signal'],0,997
3479,['bob'],0,995
1312,['creature'],0,994
4866,['bridge'],0,994
1203,['steal'],0,993
623,['definitely'],0,992
263,['loved'],0,991
1585,['crying'],0,991
3534,['english'],0,990
3707,['clock'],0,990
6424,['robin'],0,989
3598,['alarm'],0,988
1009,['mighty'],0,987
9922,['code'],0,987
1548,['law'],0,986
1291,['carry'],0,985
4671,['york'],0,985
3484,['immediately'],0,983
1687,['beginning'],0,982
3104,['universe'],0,982
4300,['information'],0,982
5309,['rita'],0,982
3120,['truck'],0,981
2773,['realize'],0,977
1310,['hole'],0,974
3177,['theme'],0,974
5727,['base'],0,973
1081,['goodness'],0,971
1900,['strength'],0,971
867,['imagine'],0,970
2266,['pal'],0,970
46753,['raphael'],0,970
370,['pleasure'],0,969
915,['mark'],0,969
1816,['instead'],0,969
1928,['promised'],0,969
2849,['station'],0,968
4901,['commander'],0,968
1885,['prove'],0,967
3332,['idiot'],0,967
11197,['justin'],0,965
3311,['tea'],0,960
3170,['support'],0,959
3743,['summer'],0,959
234,['storm'],0,958
627,['worst'],0,958
2291,['science'],0,957
